X-Axis,Ch1 Y-Axis,Ch2 Y-Axis,Ch3 Y-Axis
0.0,1.16475,1.06372,0.53591
0.0002474485998112974,-0.28827,0.20414,-0.54158
0.0004948971996225948,0.15256,0.75552,-0.14609
0.0007423457994338923,0.16737,0.54954,-0.07131
0.0009897943992451896,-0.02704,0.49237,-0.02393
0.001237242999056487,-0.28749,0.17385,-0.11259
0.0014846915988677846,-0.44417,-0.24151,-0.33066
0.001732140198679082,-0.35203,-0.34291,-0.1235
0.0019795887984903793,-0.38843,-0.64862,-0.02378
0.0022270373983016767,-0.28924,-0.49848,-0.07281
0.002474485998112974,-0.37498,-0.35128,-0.25032
0.0027219345979242714,-0.30873,-0.00035,-0.31608
0.002969383197735569,0.07683,0.49344,-0.06694
0.0032168317975468665,0.29017,0.72017,0.15155
0.003464280397358164,0.27307,0.8947,0.10293
0.0037117289971694612,0.07292,0.83363,-0.08017
0.003959177596980759,0.12871,0.6319,-0.04889
0.004206626196792056,0.41596,0.30832,0.1511
0.004454074796603353,0.3317,0.08939,0.11859
0.004701523396414651,0.09082,-0.00662,-0.03432
0.004948971996225948,0.02089,-0.10092,-0.01725
0.005196420596037246,0.12126,0.04338,-0.06186
0.005443869195848543,0.22526,0.19134,-0.10957
0.0056913177956598405,0.11494,0.24118,-0.08329
0.005938766395471138,-0.05222,0.25034,-0.16179
0.006186214995282435,0.04102,0.14054,-0.08345
0.006433663595093733,0.30815,0.0592,0.0754
0.00668111219490503,0.24561,-0.05944,0.06679
0.006928560794716328,0.1319,-0.06745,0.0484
0.007176009394527625,0.11817,-0.04661,-0.02278
0.0074234579943389225,0.0222,-0.19755,0.00101
0.007670906594150219,0.08664,-0.16168,0.16888
0.007918355193961517,-0.03057,-0.1232,0.14409
0.008165803793772814,-0.07191,-0.18105,0.07413
0.008413252393584113,-0.05844,-0.29824,-0.01081
0.00866070099339541,-0.49493,-0.3673,0.01209
0.008908149593206707,-0.63624,-0.31257,0.24423
0.009155598193018004,-0.56942,-0.37117,0.15727
0.009403046792829302,-0.62623,-0.32316,-0.00057
0.009650495392640599,-0.29056,-0.25654,-0.0562
0.009897943992451896,-0.0204,-0.25046,-0.14117
0.010145392592263195,-0.41734,-0.44358,-0.04005
